Date,Close,High,Low,Open,Volume
2010-01-04,6.4183855056762695,6.433081058273329,6.369500169347675,6.400990696401913,493729600
2010-01-05,6.429481029510498,6.465770227085805,6.395590770250193,6.436079211041895,601904800
2010-01-06,6.327210426330566,6.454972387130861,6.320612246042203,6.429479818258525,552160000
2010-01-07,6.315514087677002,6.35810194747882,6.269627938141667,6.350604014340531,477131200
2010-01-08,6.357502460479736,6.358102695625094,6.269929394085613,6.307117545132728,447610800
2010-01-11,6.301417827606201,6.388091513614768,6.251632363057832,6.382093168386391,462229600
2010-01-12,6.229741096496582,6.291223360823068,6.1907530369257975,6.273827751715942,594459600
2010-01-13,6.317613124847412,6.326010809451721,6.121172494075393,6.234238916384411,605892000
2010-01-14,6.281024932861328,6.311916017638003,6.268728722671271,6.301419311440199,432894000
2010-01-15,6.176054000854492,6.346103461853795,6.174254497523158,6.326009007987233,594067600
2010-01-19,6.449273586273193,6.453772345580243,6.215344108660808,6.248033891687862,730007600
2010-01-20,6.350002765655518,6.464567947883259,6.283122422443444,6.445373644957507,612152800
2010-01-21,6.240235805511475,6.397389264705099,6.214443718988294,6.360500638690358,608154400
2010-01-22,5.930727481842041,6.223139973998957,5.913033166112639,6.201546734278127,881767600
2010-01-25,6.0902814865112305,6.1391664065053355,6.0039073030690755,6.073486517520357,1065699600
2010-01-26,6.176355361938477,6.409385892316486,6.075585554367734,6.176655279230478,1867110000
2010-01-27,6.23453950881958,6.315514793217299,5.984113719531948,6.203648421262483,1722568400
2010-01-28,5.976912975311279,6.163157553564718,5.959218661235868,6.1460630738934565,1173502400
2010-01-29,5.760079383850098,6.064188690308143,5.705795558915451,6.030598756707772,1245952400
2010-02-01,5.840155124664307,5.878243816242545,5.737285905930892,5.769376252245287,749876400
2010-02-02,5.874044418334961,5.887840611135416,5.799666946224144,5.8755444049324685,698342400
2010-02-03,5.975114822387695,6.004206397139721,5.830857818977746,5.853351213793034,615328000
2010-02-04,5.75977897644043,5.949321857861917,5.745382949617351,5.900136233730128,757652000
2010-02-05,5.862048625946045,5.878244159103058,5.723789962938904,5.7771744380537005,850306800
2010-02-08,5.821861267089844,5.934627768971494,5.818262259501862,5.868947482185346,478270800
2010-02-09,5.883943557739258,5.923231526717092,5.840756263045881,5.890841255908896,632886800
2010-02-10,5.851851940155029,5.896239298041465,5.826059854416686,5.874944770320464,370361600
2010-02-11,5.95831823348999,5.990708889391717,5.8200596131193185,5.844652422127939,550345600
2010-02-12,6.00960636138916,6.047395145682316,5.863249901694698,5.941526325938789,655468800
2010-02-16,6.100178241729736,6.108875442588585,6.043794993307377,6.056391118879053,543737600
2010-02-17,6.0746870040893555,6.127470852748636,6.024001375479951,6.123871844769956,436396800
2010-02-18,6.086081027984619,6.114872681768744,6.02579886575794,6.047092188335279,422825200
2010-02-19,6.048293590545654,6.094180136204051,6.031498622313618,6.053992419620312,415469600
2010-02-22,6.010804653167725,6.0731862489714965,5.973916027322339,6.068387972697071,390563600
2010-02-23,5.9100341796875,6.038096046683881,5.869546550876753,5.998207851969282,575094800
2010-02-24,6.018002986907959,6.041395734646007,5.933427512524327,5.945124286816969,460566400
2010-02-25,6.058192729949951,6.083984824636352,5.904938547509941,5.919634099192716,665126000
2010-02-26,6.136765956878662,6.153261004495625,6.058189642876154,6.0695860974624125,507460800
2010-03-01,6.267827987670898,6.2831229673818125,6.1616592776797585,6.170656395231517,550093600
2010-03-02,6.2636308670043945,6.323012900263705,6.230340441772008,6.29602073934463,566546400
2010-03-03,6.278025150299072,6.29422068569066,6.236338244226479,6.266329175585803,372052800
2010-03-04,6.319413185119629,6.325711449127426,6.257031580980093,6.276526608094571,366041200
2010-03-05,6.566539287567139,6.589032685201613,6.43697781371788,6.4462752502485685,899620400
2010-03-08,6.570438385009766,6.600728832585432,6.545545648262431,6.59832989448658,429889600
2010-03-09,6.688601016998291,6.747983026092429,6.534747083767751,6.547343206844761,920259200
2010-03-10,6.743185520172119,6.762380225978724,6.6940006882371055,6.712895076341879,596218000
2010-03-11,6.762980937957764,6.762980937957764,6.697600957197639,6.715296081004242,405700400
2010-03-12,6.795970916748047,6.829860371689238,6.770478345684692,6.8190633484712135,416323600
2010-03-15,6.713194847106934,6.762979112088277,6.6055265486908485,6.759380905675273,493502800
2010-03-16,6.731489181518555,6.747384396923159,6.673306830936135,6.723391815388166,446908000
2010-03-17,6.721593856811523,6.791472596944784,6.696101683017723,6.744986609164284,450956800
2010-03-18,6.73748779296875,6.747984497751548,6.676305866750772,6.720991941506472,342109600
2010-03-19,6.665507793426514,6.7551810419762495,6.634916636766184,6.741685167215725,559445600
2010-03-22,6.740486145019531,6.777975401481914,6.602527411067792,6.612124763230596,456419600
2010-03-23,6.8487548828125,6.861351410122587,6.720992508352105,6.767178974308452,602431200
2010-03-24,6.879045009613037,6.90393774243333,6.823261198612478,6.827160523520049,597780400
2010-03-25,6.797470569610596,6.927032454580988,6.785473876322407,6.92553246749629,542284400
2010-03-26,6.924932479858398,6.95642259413151,6.8544531177689425,6.866449809404741,640875200
2010-03-29,6.969618797302246,7.014005759603886,6.946526365043018,6.987914154158917,540744400
2010-03-30,7.073389053344727,7.122275184600778,7.025403074629209,7.095882455841143,527310000
2010-03-31,7.047893524169922,7.096179800450251,7.03169879370021,7.062589869677275,430659600
2010-04-01,7.076988220214844,7.159763014271338,6.980417226725197,7.120175521940717,603145200
2010-04-05,7.152562618255615,7.153162452746914,7.040995805415412,7.047294467997608,684507600
2010-04-06,7.184055328369141,7.205048739976729,7.107877930584541,7.14386720823135,447017200
2010-04-07,7.215847969055176,7.255436266651595,7.157664791886583,7.184357041171244,628502000
2010-04-08,7.196349143981934,7.244034780851391,7.139066156040269,7.2110446873877265,572989200
2010-04-09,7.251534461975098,7.254534435922096,7.211646661019895,7.2407382396634326,334182800
2010-04-12,7.266531467437744,7.289924220438014,7.2521354343007065,7.263831810800842,333026400
2010-04-13,7.270726203918457,7.2818235415065065,7.231137931638016,7.253632123611253,306210800
2010-04-14,7.368500232696533,7.372099240622485,7.319915227390845,7.356204022706529,404076400
2010-04-15,7.465371131896973,7.468669821897401,7.363101330868881,7.371198697849782,376784800
2010-04-16,7.4197821617126465,7.531948798219249,7.334307757069283,7.454871274796588,750545600
2010-04-19,7.409890174865723,7.43448260198749,7.250937148698098,7.408690505208682,566924400
2010-04-20,7.335509777069092,7.475268041459995,7.286624456348288,7.453974312672513,738326400
2010-04-21,7.77427864074707,7.805169722931673,7.669609502765498,7.761682113858272,982391200
2010-04-22,7.991716384887695,8.000114072529817,7.683708006075659,7.744890358049261,793424800
2010-04-23,8.12247371673584,8.162961349359016,8.007608198357367,8.037298808608805,796955600
2010-04-26,8.082585334777832,8.171358443101639,8.043296573298182,8.15396404249547,479068800
2010-04-27,7.858851909637451,8.032799921053616,7.813266086540235,8.015705037180366,709343600
2010-04-28,7.8456549644470215,7.9176326935956665,7.690001533479593,7.895140103713173,758402400
2010-04-29,8.056795120239258,8.097582276244731,7.857954331111302,7.888244780779376,558840800
2010-04-30,7.8303608894348145,8.11467524928054,7.827662034471024,8.076886474704448,542463600
2010-05-03,7.988112449645996,8.033999385539714,7.884043172665078,7.912835226824925,454342000
2010-05-04,7.758085250854492,7.8963443645798606,7.700203196744432,7.884348469835899,723819600
2010-05-05,7.6774067878723145,7.7418878028355165,7.459671644183973,7.588633674110378,883103200
2010-05-06,7.3852949142456055,7.745186863955698,5.9757152415117245,7.612626621102039,1285860800
2010-05-07,7.073686122894287,7.3948907102581565,6.7542818399886055,7.309116774008322,1676018400
2010-05-10,7.617423057556152,7.637217595562171,7.453672247378271,7.505257212243817,984306400
2010-05-11,7.693301677703857,7.794370984917732,7.5127555029257245,7.5529428115103014,848906800
2010-05-12,7.860352039337158,7.8915426349671804,7.758682886477566,7.774876817569426,654379600
2010-05-13,7.748485565185547,7.94762582647504,7.689702581380582,7.8942413535054765,599712400
2010-05-14,7.6123270988464355,7.692103507073304,7.482766015445916,7.652515220290402,759362800
2010-05-17,7.624321460723877,7.683104438686342,7.429079742908299,7.638717488187444,762834800
2010-05-18,7.568537712097168,7.754182060023679,7.505555898981545,7.7070962594269,782678400
2010-05-19,7.447977066040039,7.585336012208045,7.343308711373623,7.48276667861771,1025726800
2010-05-20,7.13067102432251,7.313316252071593,7.084184244083757,7.25423294545981,1282915200
2010-05-21,7.26743221282959,7.3328126002993805,6.938429652538989,6.982516306346753,1223891200
2010-05-24,7.400590419769287,7.524753794604237,7.385595353783674,7.416186121275581,754238800
2010-05-25,7.354404449462891,7.400590115716195,7.112676691978241,7.178356583889812,1048006400
2010-05-26,7.321112632751465,7.561641475983034,7.310315611131356,7.5001596374726285,850654000
2010-05-27,7.598231315612793,7.614426851314197,7.4710695720133415,7.515756052585098,666282400
2010-05-28,7.704101085662842,7.779678659947762,7.598232257936724,7.779379143006481,815614800
2010-06-01,7.822566032409668,7.97582020976193,7.766482683626039,7.788376251940288,876472800
2010-06-02,7.916136741638184,7.941628511508745,7.807568278000771,7.933830661512526,688548000
2010-06-03,7.891238689422607,7.964116543942469,7.809962355101976,7.9530192106155635,650106800
2010-06-04,7.676506042480469,7.854652072224787,7.636618252114785,7.7439854171911024,758304400
2010-06-07,7.52595329284668,7.772179414290917,7.514256116559216,7.746387324771949,886942000
2010-06-08,7.477668762207031,7.611729022858751,7.367301573225111,7.594933650235495,1000770400
2010-06-09,7.293822288513184,7.554745567684045,7.2725293587703135,7.541848721716722,854630000
